,Gold,USDINR,NIFTY50,Gold_Volume,USDINR_Volume,NIFTY50_Volume
2017-08-10,1283.699951171875,63.887699127197266,9820.25,608.0,0.0,235500.0
2017-08-11,1287.699951171875,64.13860321044922,9710.7998046875,139.0,0.0,285900.0
2017-08-14,1284.199951171875,64.08100128173828,9794.150390625,338.0,0.0,195600.0
2017-08-15,1273.699951171875,64.17430114746094,9794.150390625,188.0,0.0,195600.0
2017-08-16,1276.9000244140625,64.26300048828125,9897.2998046875,110.0,0.0,219500.0
2017-08-17,1286.4000244140625,64.1604995727539,9904.150390625,43.0,0.0,197600.0
2017-08-18,1285.699951171875,64.18890380859375,9837.400390625,358.0,0.0,246300.0
2017-08-21,1290.800048828125,64.07589721679688,9754.349609375,18.0,0.0,205300.0
2017-08-22,1285.0999755859375,64.15750122070312,9765.5498046875,100.0,0.0,183600.0
2017-08-23,1288.9000244140625,64.05750274658203,9852.5,250.0,0.0,168600.0
2017-08-24,1286.5,64.00499725341797,9857.0498046875,550.0,0.0,184700.0
2017-08-25,1292.5,64.03500366210938,9857.0498046875,280.0,0.0,184700.0
2017-08-28,1309.699951171875,63.99549865722656,9912.7998046875,145.0,0.0,159600.0
2017-08-29,1313.0999755859375,63.78929901123047,9796.0498046875,1178.0,0.0,173300.0
2017-08-30,1308.0999755859375,63.98680114746094,9884.400390625,1178.0,0.0,157800.0
2017-08-31,1316.199951171875,63.976200103759766,9917.900390625,373.0,0.0,327700.0
2017-09-01,1324.5,63.91189956665039,9974.400390625,313.0,0.0,157800.0
2017-09-04,1324.5,64.0155029296875,9912.849609375,313.0,0.0,148800.0
2017-09-05,1339.199951171875,64.02629852294922,9952.2001953125,39.0,0.0,139200.0
2017-09-06,1333.9000244140625,64.0999984741211,9916.2001953125,20.0,0.0,149200.0
2017-09-07,1345.0999755859375,64.0154037475586,9929.900390625,26.0,0.0,188800.0
2017-09-08,1346.0,63.95009994506836,9934.7998046875,37.0,0.0,163600.0
2017-09-11,1331.0,63.930999755859375,10006.0498046875,9.0,0.0,173000.0
2017-09-12,1328.0,63.97999954223633,10093.0498046875,15.0,0.0,182600.0
2017-09-13,1323.4000244140625,63.98759841918945,10079.2998046875,16.0,0.0,215000.0
2017-09-14,1324.699951171875,64.11509704589844,10086.599609375,316.0,0.0,225600.0
2017-09-15,1320.4000244140625,64.15499877929688,10085.400390625,15.0,0.0,266600.0
2017-09-18,1306.300048828125,64.12020111083984,10153.099609375,129.0,0.0,156100.0
2017-09-19,1306.199951171875,64.2146987915039,10147.5498046875,20.0,0.0,187500.0
2017-09-20,1312.0,64.29869842529297,10141.150390625,12.0,0.0,199400.0
2017-09-21,1290.5999755859375,64.28369903564453,10121.900390625,336.0,0.0,191800.0
2017-09-22,1293.300048828125,64.80229949951172,9964.400390625,209.0,0.0,226600.0
2017-09-25,1306.800048828125,64.89099884033203,9872.599609375,51.0,0.0,221400.0
2017-09-26,1297.0,65.26509857177734,9871.5,39.0,0.0,190900.0
2017-09-27,1283.4000244140625,65.3499984741211,9735.75,19488.0,0.0,200100.0
2017-09-28,1285.5,65.5250015258789,9768.9501953125,5226.0,0.0,385000.0
2017-09-29,1281.5,65.36000061035156,9788.599609375,492.0,0.0,196300.0
2017-10-02,1272.699951171875,65.29329681396484,9788.599609375,136.0,0.0,196300.0
2017-10-03,1271.5,65.57170104980469,9859.5,192.0,0.0,162800.0
2017-10-04,1273.699951171875,65.44309997558594,9914.900390625,218.0,0.0,156200.0
2017-10-05,1269.9000244140625,65.01950073242188,9888.7001953125,36.0,0.0,147800.0
2017-10-06,1271.5999755859375,65.20999908447266,9979.7001953125,46.0,0.0,195800.0
2017-10-09,1281.800048828125,65.41419982910156,9988.75,19.0,0.0,143900.0
2017-10-10,1290.5999755859375,65.41459655761719,10016.9501953125,18.0,0.0,148600.0
2017-10-11,1285.800048828125,65.23889923095703,9984.7998046875,21.0,0.0,189700.0
2017-10-12,1293.300048828125,65.20539855957031,10096.400390625,14.0,0.0,200900.0
2017-10-13,1301.5,65.0459976196289,10167.4501953125,74.0,0.0,230100.0
2017-10-16,1299.9000244140625,64.6729965209961,10230.849609375,173.0,0.0,203000.0
2017-10-17,1283.0,64.6946029663086,10234.4501953125,571.0,0.0,195700.0
2017-10-18,1279.9000244140625,64.92870330810547,10210.849609375,163.0,0.0,254200.0
2017-10-19,1286.9000244140625,65.04010009765625,10146.5498046875,134.0,0.0,30200.0
2017-10-20,1277.4000244140625,64.90460205078125,10146.5498046875,304.0,0.0,30200.0
2017-10-23,1277.699951171875,65.1041030883789,10184.849609375,115.0,0.0,218100.0
2017-10-24,1275.0,65.03489685058594,10207.7001953125,111.0,0.0,217200.0
2017-10-25,1275.4000244140625,65.07949829101562,10295.349609375,105.0,0.0,594200.0
2017-10-26,1266.300048828125,64.83999633789062,10343.7998046875,39.0,0.0,429700.0
2017-10-27,1268.5,64.5999984741211,10323.0498046875,567.0,0.0,312700.0
2017-10-30,1274.0999755859375,64.87339782714844,10363.650390625,222.0,0.0,236900.0
2017-10-31,1267.0,64.84239959716797,10335.2998046875,235.0,0.0,232600.0
2017-11-01,1274.0999755859375,64.67009735107422,10440.5,78.0,0.0,260300.0
2017-11-02,1274.9000244140625,64.55509948730469,10423.7998046875,70.0,0.0,201500.0
2017-11-03,1266.5,64.50050354003906,10452.5,75.0,0.0,199900.0
2017-11-06,1279.4000244140625,64.69339752197266,10451.7998046875,128.0,0.0,193600.0
2017-11-07,1273.699951171875,64.59089660644531,10350.150390625,11.0,0.0,286900.0
2017-11-08,1281.5999755859375,65.16449737548828,10303.150390625,15.0,0.0,274500.0
2017-11-09,1285.5999755859375,64.9104995727539,10308.9501953125,18.0,0.0,240200.0
2017-11-10,1272.4000244140625,64.96800231933594,10321.75,10.0,0.0,279400.0
2017-11-13,1277.300048828125,65.1603012084961,10224.9501953125,3.0,0.0,210300.0
2017-11-14,1281.5,65.43840026855469,10186.599609375,4.0,0.0,305000.0
2017-11-15,1276.5,65.41339874267578,10118.0498046875,13.0,0.0,207400.0
2017-11-16,1277.4000244140625,65.41339874267578,10214.75,43.0,0.0,182600.0
2017-11-17,1295.800048828125,65.20999908447266,10283.599609375,1.0,0.0,203300.0
2017-11-20,1274.5999755859375,64.90499877929688,10298.75,1.0,0.0,147200.0
2017-11-21,1281.0999755859375,65.0250015258789,10326.900390625,4.0,0.0,186100.0
2017-11-22,1291.5999755859375,64.76129913330078,10342.2998046875,4.0,0.0,157600.0
2017-11-23,1291.5999755859375,64.7699966430664,10348.75,4.0,0.0,153000.0
2017-11-24,1286.699951171875,64.57939910888672,10389.7001953125,0.0,0.0,129200.0
2017-11-27,1293.800048828125,64.54499816894531,10399.5498046875,1.0,0.0,141900.0
2017-11-28,1294.699951171875,64.43389892578125,10370.25,275442.0,0.0,196000.0
2017-11-29,1282.0999755859375,64.47000122070312,10361.2998046875,47244.0,0.0,152500.0
2017-11-30,1273.199951171875,64.41480255126953,10226.5498046875,3049.0,0.0,342500.0
2017-12-01,1278.800048828125,64.49939727783203,10121.7998046875,823.0,0.0,143400.0
2017-12-04,1274.300048828125,64.50900268554688,10127.75,850.0,0.0,148600.0
2017-12-05,1261.5999755859375,64.35140228271484,10118.25,1499.0,0.0,155500.0
2017-12-06,1262.800048828125,64.35690307617188,10044.099609375,373.0,0.0,166100.0
2017-12-07,1249.800048828125,64.51519775390625,10166.7001953125,358.0,0.0,166200.0
2017-12-08,1245.199951171875,64.54239654541016,10265.650390625,157.0,0.0,200000.0
2017-12-11,1243.699951171875,64.4729995727539,10322.25,146.0,0.0,147400.0
2017-12-12,1238.5,64.3499984741211,10240.150390625,692.0,0.0,175100.0
2017-12-13,1245.4000244140625,64.55000305175781,10192.9501953125,349.0,0.0,181600.0
2017-12-14,1253.800048828125,64.31999969482422,10252.099609375,139.0,0.0,154300.0
2017-12-15,1254.300048828125,64.2750015258789,10333.25,578.0,0.0,255100.0
2017-12-18,1262.199951171875,64.07230377197266,10388.75,45.0,0.0,230400.0
2017-12-19,1260.699951171875,64.20010375976562,10463.2001953125,329.0,0.0,169100.0
2017-12-20,1266.0999755859375,64.04759979248047,10444.2001953125,63.0,0.0,175200.0
2017-12-21,1267.300048828125,63.96500015258789,10440.2998046875,226.0,0.0,151900.0
2017-12-22,1275.4000244140625,64.00969696044922,10493.0,119.0,0.0,138800.0
2017-12-25,1275.4000244140625,64.00779724121094,10493.0,119.0,0.0,138800.0
2017-12-26,1284.0999755859375,64.010498046875,10531.5,84.0,0.0,155600.0
2017-12-27,1287.0,64.0281982421875,10490.75,456.0,0.0,165200.0
2017-12-28,1294.0999755859375,64.11499786376953,10477.900390625,245.0,0.0,272900.0
2017-12-29,1306.300048828125,64.06199645996094,10530.7001953125,65.0,0.0,152000.0
2018-01-01,1306.300048828125,63.84080123901367,10530.7001953125,65.0,0.0,152000.0
2018-01-02,1313.699951171875,63.86759948730469,10442.2001953125,68.0,0.0,153400.0
2018-01-03,1316.199951171875,63.459999084472656,10443.2001953125,42.0,0.0,167300.0
2018-01-04,1319.4000244140625,63.41910171508789,10504.7998046875,2.0,0.0,174900.0
2018-01-05,1320.300048828125,63.369598388671875,10558.849609375,1.0,0.0,180900.0
2018-01-08,1318.5999755859375,63.26499938964844,10623.599609375,41.0,0.0,169000.0
2018-01-09,1311.699951171875,63.45199966430664,10637.0,16.0,0.0,205000.0
2018-01-10,1317.4000244140625,63.63610076904297,10632.2001953125,70.0,0.0,176400.0
2018-01-11,1320.5999755859375,63.7599983215332,10651.2001953125,9.0,0.0,153800.0
2018-01-12,1333.4000244140625,63.67210006713867,10681.25,14.0,0.0,175200.0
2018-01-15,1333.4000244140625,63.5885009765625,10741.5498046875,14.0,0.0,175900.0
2018-01-16,1335.4000244140625,63.52119827270508,10700.4501953125,13.0,0.0,211000.0
2018-01-17,1338.0,63.994300842285156,10788.5498046875,27.0,0.0,252700.0
